Category Page ExternalLinks InternalLinks Description Complexity
Theoretical_computer_science Chaos_computing 1 0 2872 1275
Theoretical_computer_science Combinatorial_optimization 56 436 2413 1053
Theoretical_computer_science Computation 47 0 1643 738
Theoretical_computer_science Corecursion 5 0 15608 5585
Theoretical_computer_science Hindley–Milner_type_system 8 0 27274 9514
Theoretical_computer_science Krohn–Rhodes_theory 3 30 7665 3041
Theoretical_computer_science Lambda_calculus 94 0 32876 11318
Theoretical_computer_science Quantum_capacity 5 87 4217 1601
Theoretical_computer_science Quantum_computer 164 1196 25851 9573
Theoretical_computer_science Scientific_community_metaphor 3 28 6741 2951
Theoretical_computer_science Turing_machine 158 747 24040 9417
Theoretical_computer_science Π-calculus 9 31 16465 5844
Theoretical_computer_science AI_box 2 14 2271 1089
Theoretical_computer_science Automated_reasoning 35 0 5543 2452
Theoretical_computer_science Bio-inspired_computing 5 42 2529 1192
Theoretical_computer_science Grammar_systems_theory 2 0 1982 918
Theoretical_computer_science ACM_SIGACT 13 0 624 412
Theoretical_computer_science Algorithm 229 0 41849 16122
Theoretical_computer_science Algorithm_engineering 3 0 2253 1117
Theoretical_computer_science Bigraph 1 7 2117 984
Theoretical_computer_science Bisimulation 6 0 5892 2123
Theoretical_computer_science Bridging_model 0 0 919 510
Theoretical_computer_science Categorical_logic 9 0 4740 2195
Theoretical_computer_science Chemical_computer 2 26 5251 2332
Theoretical_computer_science Complexity_function 2 0 4585 1758
Theoretical_computer_science Computational_irreducibility 0 0 1296 661
Theoretical_computer_science Computational_learning_theory 21 154 1993 924
Theoretical_computer_science Computational_problem 5 74 3969 1488
Theoretical_computer_science Concurrence_(quantum_computing) 0 15 980 510
Theoretical_computer_science Correctness_(computer_science) 7 49 1861 920
Theoretical_computer_science Digital_probabilistic_physics 1 0 2548 1118
Theoretical_computer_science DNA_computing 24 177 8014 3528
Theoretical_computer_science Dominance-based_rough_set_approach 1 12 12723 4404
Theoretical_computer_science Dynamic_data-driven_application_system 0 6 516 372
Theoretical_computer_science Exact_cover 5 0 21059 5603
Theoretical_computer_science Extractor_(mathematics) 1 23 1626 763
Theoretical_computer_science Formal_language 91 0 10704 4060
Theoretical_computer_science Formal_methods 43 498 9223 3634
Theoretical_computer_science Formal_verification 46 0 5200 2240
Theoretical_computer_science Fredkin_finite_nature_hypothesis 0 14 1544 787
Theoretical_computer_science Full_employment_theorem 1 15 1413 726
Theoretical_computer_science Granular_computing 5 0 19716 6969
